country,country_code,current_population,peak_population,population_fraction,fraction_display
Georgia,GEO,3728573,5460000,0.6828888278388279,0.683
Latvia,LVA,1830211,2668000,0.685986131934033,0.686
Ukraine,UKR,37000000,51891400,0.7130275922407181,0.713
Bulgaria,BGR,6465097,8981000,0.7198638236276584,0.72
Bosnia and Herzegovina,BIH,3210847,4377000,0.7335725382682202,0.734
Lithuania,LTU,2862380,3694000,0.7748727666486194,0.775
Moldova,MDA,3435931,4362000,0.787696240256763,0.788
Croatia,HRV,3862000,4780000,0.8079497907949791,0.808
Romania,ROU,19056116,23200000,0.8213843103448276,0.821
Puerto Rico,PRI,3205691,3815000,0.8402859764089122,0.84
Serbia,SRB,6664449,7822000,0.852013423676809,0.852
Albania,ALB,2832439,3286542,0.8618295460700031,0.862
Estonia,EST,1366188,1568000,0.8712933673469387,0.871
Greece,GRC,10341277,11121341,0.9298588182845936,0.93
Poland,POL,36686356,38660000,0.9489486808070356,0.949
Italy,ITA,58870762,60789140,0.9684420934397163,0.968
Japan,JPN,124516650,128542000,0.9686845544646886,0.969
Russia,RUS,144444359,148394000,0.9733840923487472,0.973
Portugal,PRT,10525347,10573100,0.9954835384135211,0.995
South Korea,KOR,51712619,51836239,0.9976151819193518,0.998
China,CHN,1425178782,1425887337,0.9995030778508134,1.0
Nigeria,NGA,223804632,223804632,1.0,1.0
United States,USA,339996563,339996563,1.0,1.0
Germany,DEU,84482267,84482267,1.0,1.0
Syria,SYR,23227014,23227014,1.0,1.0
Spain,ESP,48373336,48373336,1.0,1.0
Australia,AUS,26638544,26638544,1.0,1.0
Canada,CAN,40097761,40097761,1.0,1.0
United Kingdom,GBR,68350000,68350000,1.0,1.0
France,FRA,68170228,68170228,1.0,1.0
India,IND,1428627663,1428627663,1.0,1.0
Ireland,IRL,5149139,5149139,1.0,1.0
Mexico,MEX,128455567,128455567,1.0,1.0
Brazil,BRA,216422446,216422446,1.0,1.0
South Africa,ZAF,60414495,60414495,1.0,1.0
Egypt,EGY,112716598,112716598,1.0,1.0
Turkey,TUR,85816199,85816199,1.0,1.0
Argentina,ARG,45773884,45773884,1.0,1.0
